Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank
Skilljar,https://www.crunchbase.com/organization/skilljar,"Software, Education, Internet Services","Seattle, Washington, United States","Skilljar is an online platform that enables businesses to educate their customers, vendors, and partners through online courses.","9,454"
ShareRoot,https://www.crunchbase.com/organization/shareroot,"Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Content and Publishing, Advertising","Berkeley, California, United States","SaaS platform to help brands grow authentic, unparalleled connections through visual content marketing","9,450"
Enservio,https://www.crunchbase.com/organization/enservio,"Software, Financial Services","Needham, Massachusetts, United States","Enservio provides software and service solutions helping property insurance carriers price their policies, capture and value lost items.","9,449"
ATOMIZED,https://www.crunchbase.com/organization/atomized,"Software, Sales and Marketing, Advertising","Atlanta, Georgia, United States",Omni-channel visual content calendar,"9,447"
Fidelis,https://www.crunchbase.com/organization/fidelis,"Information Technology, Software, Sales and Marketing, Education","San Francisco, California, United States",Fidelis is a venture-funded technology company building an enterprise platform for personalized learning.,"9,438"
Codiscope,https://www.crunchbase.com/organization/codiscope,Software,"Boston, Massachusetts, United States",Codiscope is a developer tools company hell-bent on ridding the world of easy-to-hack apps by teaching developers to code securely.,"9,437"
eyeQ,https://www.crunchbase.com/organization/eyeq,"Science and Engineering, Hardware, Commerce and Shopping, Software, Design","Austin, Texas, United States",EyeQ enables brands and retailers to win at the shelf by providing shoppers with personalized digital experiences.,"9,420"
ServiceSource,https://www.crunchbase.com/organization/servicesource,"Software, Health Care, Internet Services","San Francisco, California, United States",ServiceSource offers cloud-based apps that facilitate management and optimization of the service contract renewals process.,"9,407"
Payable,https://www.crunchbase.com/organization/payable,"Software, Payments, Financial Services","San Francisco, California, United States",Supporting independent workers and the companies that pay them,"9,406"
innRoad,https://www.crunchbase.com/organization/innroad-inc,"Travel and Tourism, Software","New York, New York, United States","innRoad offers a SaaS-based software solution that assists hotels in property management, bookings, and marketing.","9,366"
personali,https://www.crunchbase.com/organization/netotiate,"Hardware, Commerce and Shopping, Software","New York, New York, United States",Personali is an incentives personalization platform for online retailers that increases revenue while protecting profit margins.,"9,357"
Greytip Software,https://www.crunchbase.com/organization/greytip-software,Software,"Bangalore, Karnataka, India","Greytip Software helps to automate Payroll, Employee data management, Leave , Attendance, Expense claims, Document management and more.","9,340"
Ahalogy,https://www.crunchbase.com/organization/ahalogy,"Media and Entertainment, Software, Internet Services","Cincinnati, Ohio, United States",Ahalogy offers a performance content marketing solution for enterprise.,"9,337"
Reevoo,https://www.crunchbase.com/organization/reevoo-com,"Commerce and Shopping, Software, Financial Services","London, England, United Kingdom",Reevoo is a user-generated content platform.,"9,283"
Webydo.,https://www.crunchbase.com/organization/webydo,"Information Technology, Software, Design","Tel Aviv, Tel Aviv, Israel","Webydo is a SaaS platform enabling designers and agencies to create, host and manage code-free, responsive websites for their clients.","9,273"
Jobber,https://www.crunchbase.com/organization/jobber,"Information Technology, Software, Internet Services","Edmonton, Alberta, Canada","Jobber is the simplest, most efficient way for mobile service businesses to schedule, invoice and manage their mobile team.","9,254"
Aviary,https://www.crunchbase.com/organization/aviary,"Apps, Software, Internet Services, Mobile","New York, New York, United States","Aviary is a photo-editing platform for iOS, Android, Windows and HTML5","9,164"
Karbon,https://www.crunchbase.com/organization/karbonhq,Software,"San Francisco, California, United States",Karbon is task management software designed for accountants.,"9,157"
Orchestro,https://www.crunchbase.com/organization/orchestro,"Data and Analytics, Software","Mclean, Virginia, United States",Orchestro develops a Software-as-a-Service based demand signal management platform.,"9,145"
ARI Network Services,https://www.crunchbase.com/organization/ari-network-services,"Commerce and Shopping, Software","Milwaukee, Wisconsin, United States","ARI provides website, software, and data solutions to help dealers, distributors, and OEMs improve their selling process.","9,112"
GridCraft,https://www.crunchbase.com/organization/gridcraft,"Data and Analytics, Software","Boulder, Colorado, United States","GridCraft empowers business users with powerful data analysis, sharing & collaboration tools in a familiar spreadsheet-like interface.","9,097"
451 Degrees,https://www.crunchbase.com/organization/451-degrees,"Science and Engineering, Data and Analytics, Software, Sales and Marketing, Internet Services, Advertising","San Francisco, California, United States","Machined Learning, Artificial Intelligence and Natural Language Processing for Comments to any content to delivery dynamic ADN and SEO","9,048"
Greenbird Integration Technology,https://www.crunchbase.com/organization/greenbird-integration-technology,"Information Technology, Data and Analytics, Software, Internet Services","Oslo, Oslo, Norway","Hybrid cloud platform for big data integrations empowering Smart Grid, Smart City and the industrial Internet-of-Things.","8,995"
Transifex,https://www.crunchbase.com/organization/transifex,Software,"Menlo Park, California, United States",Transifex is a Localization Automation Platform that powers the process of launching digital products into multiple languages.,"8,982"
Bonfyre,https://www.crunchbase.com/organization/bonfyre,"Media and Entertainment, Information Technology, Events, Community and Lifestyle, Software, Internet Services, Content and Publishing, Messaging and Telecommunications, Mobile","St Louis, Missouri, United States",Bonfyre is an enterprise communications platform that is changing the way companies build culture and engage their employees.,"8,975"
Zift Solutions,https://www.crunchbase.com/organization/zift-solutions,"Software, Sales and Marketing, Advertising","Durham, North Carolina, United States",Zift Solutions offers a channel marketing automation platform that provides turnkey marketing to indirect sales organizations.,"8,970"
Scoro,https://www.crunchbase.com/organization/scoro,Software,"London, England, United Kingdom",The most comprehensive work management solution for professional and creative services.,"8,934"
Unified Inbox,https://www.crunchbase.com/organization/unified-inbox,"Data and Analytics, Software, Internet Services","Singapore, Asia",Building the Internet of Communications.,"8,933"
ColdLight Solutions,https://www.crunchbase.com/organization/coldlight-solutions,"Data and Analytics, Software, Internet Services","Wayne, Pennsylvania, United States",ColdLight Solutions provides automated machine learning science and big data predictive analytics to drive better business outcomes.,"8,921"
"Orbitera, Inc.",https://www.crunchbase.com/organization/orbitera-inc,"Commerce and Shopping, Data and Analytics, Software, Sales and Marketing, Internet Services","West Hollywood, California, United States",Orbitera is a Cloud Commerce company that simplifies and automates the buying and selling of products in the cloud.,"8,912"
Bluelock,https://www.crunchbase.com/organization/bluelock,"Hardware, Information Technology, Software, Internet Services, Privacy and Security","Indianapolis, Indiana, United States","Bluelock provides flexible IT infrastructure services such as cloud computing, VMware, virtual datacenters and related solutions.","8,893"
Codacy,https://www.crunchbase.com/organization/codacy,Software,"London, England, United Kingdom",Codacy is an automated code review tool that helps developers save time in code reviews and manage technical debt.,"8,873"
ClickSquared,https://www.crunchbase.com/organization/clicksquared,Software,"Boston, Massachusetts, United States","ClickSquared offers SaaS cross-channel campaign management and cloud marketing software, and customer analytics to B2C marketers.","8,813"
"NarrativeWave, Inc.",https://www.crunchbase.com/organization/narrativewave-inc,"Information Technology, Data and Analytics, Software, Internet Services, Design","Irvine, California, United States","NarrativeWave generates business insights from real-time operational, sensor data","8,772"
Routehappy,https://www.crunchbase.com/organization/routehappy,"Travel and Tourism, Media and Entertainment, Software, Transportation","New York, New York, United States",Routehappy is the product differentiation platform for air travel,"8,765"
Tagboard,https://www.crunchbase.com/organization/tagboard,"Media and Entertainment, Software, Internet Services","Redmond, Washington, United States","Tagboard is a software platform aggregating social media content from multiple networks for end-users, brands and marketers.","8,747"
500Friends,https://www.crunchbase.com/organization/500friends,"Commerce and Shopping, Software, Sales and Marketing","San Francisco, California, United States",500friend provides loyalty marketing solutions for internet retailers and brands.,"8,728"
Kurtosys,https://www.crunchbase.com/organization/kurtosys,"Software, Financial Services","New York, New York, United States",We help asset managers go digital,"8,708"
BitFusion.io,https://www.crunchbase.com/organization/bitfusion-io,"Apps, Hardware, Software, Internet Services","Austin, Texas, United States",Bifusion brings supercomputing performance to applications without source code changes.,"8,702"
Envysion,https://www.crunchbase.com/organization/envysion,"Media and Entertainment, Data and Analytics, Software, Video","Louisville, Colorado, United States",Envysion produces web-based video management software for video surveillance applications.,"8,650"
Igloo Software,https://www.crunchbase.com/organization/igloo-software,"Media and Entertainment, Software, Internet Services","Kitchener, Ontario, Canada",Igloo Software is a cloud intranet company that develops online communities. Igloo is an intranet you'll actually like.,"8,629"
Prolexic Technologies,https://www.crunchbase.com/organization/prolexic,"Travel and Tourism, Commerce and Shopping, Software, Payments, Financial Services","Hollywood, Florida, United States",Prolexic Technologies is a distributed denial of service (DDoS) mitigation service provider.,"8,625"
Samba Tech,https://www.crunchbase.com/organization/samba-tech,"Media and Entertainment, Music and Audio, Data and Analytics, Software, Sales and Marketing, Video, Content and Publishing, Advertising","Belo Horizonte, Minas Gerais, Brazil",Samba Tech is an online platform that develops videos to help companies better communicate with their audience.,"8,620"
NumberFour,https://www.crunchbase.com/organization/numberfour,Software,"Berlin, Berlin, Germany","NumberFour is a business platform paired with a collection of versatile apps for smartphones, tablets and personal computers.","8,619"
RiverMeadow Software,https://www.crunchbase.com/organization/rivermeadow-software,"Hardware, Information Technology, Software, Internet Services","San Jose, California, United States","RiverMeadow SaaS solves the challenge of migrating large, complex workloads into and between disparate hypervisor environments.","8,590"
test IO,https://www.crunchbase.com/organization/testcloud-de,"Data and Analytics, Software","San Francisco, California, United States","Ship software faster with continuous professional testing, on demand","8,580"
Infeedo,https://www.crunchbase.com/organization/infeedo,Software,"Haryana, India, Asia","An enterprise employee engagement platform that helps leaders close employee ideas and roadblocks, across teams and cities","8,554"
Powerhive,https://www.crunchbase.com/organization/powerhive,"Natural Resources, Energy, Sustainability, Software, Internet Services","Berkeley, California, United States","Powerhive unlocks productive, clean electricity for millions of households and businesses in emerging markets.","8,534"
Rival IQ,https://www.crunchbase.com/organization/rival-iq,"Data and Analytics, Software","Seattle, Washington, United States",Rival IQ provides digital marketing analytics with a competitive edge,"8,509"
nanorep,https://www.crunchbase.com/organization/nanorep,Software,"Herzliya, Tel Aviv, Israel",nanorep is a digital experience guidance solution that provides personalized guidance to consumers at their moment of need.,"8,457"
StackMob,https://www.crunchbase.com/organization/stackmob,"Software, Internet Services, Mobile","San Francisco, California, United States","StackMob is a mobile platform helping developers create a mobile business by letting them build, deploy and grow mobile applications.","8,432"
Squirro,https://www.crunchbase.com/organization/squirro,"Information Technology, Data and Analytics, Software, Internet Services","Zürich, Zurich, Switzerland",Squirro delivers real-time context intelligence by combining structured and unstructured data.,"8,421"
Rebelmail,https://www.crunchbase.com/organization/rebelmail,"Commerce and Shopping, Information Technology, Data and Analytics, Software, Sales and Marketing, Internet Services, Messaging and Telecommunications","New York, New York, United States",Rebelmail allows users to send interactive emails with no plug-ins required.,"8,408"
WhoKnows,https://www.crunchbase.com/organization/whoknows,"Data and Analytics, Software","Mountain View, California, United States",WhoKnows help companies automatically derive expertise and professional relationships for every employee.,"8,389"
Capsilon Corporation,https://www.crunchbase.com/organization/capsilon-corporation,"Information Technology, Software, Internet Services","San Francisco, California, United States",Capsilon Corporation provides cloud-based imaging and collaboration solutions for the mortgage industry.,"8,385"
Slidebean,https://www.crunchbase.com/organization/slidebean,Software,"New York, New York, United States",Slidebean is an online platform that designs and creates presentations on demand with user provided content.,"8,382"
Instapage,https://www.crunchbase.com/organization/instapage-com,"Software, Sales and Marketing, Advertising",,The Most Powerful Landing Page Solution for Marketing Teams & Agencies.,"8,359"
Schoolzilla,https://www.crunchbase.com/organization/schoolzilla,"Information Technology, Data and Analytics, Software, Design","Oakland, California, United States","Schoolzilla provides a hosted service that connects, cleans and visualizes all of a school’s data sources.","8,343"
Realvolve,https://www.crunchbase.com/organization/realvolve,"Information Technology, Real Estate, Software, Sales and Marketing","Raleigh, North Carolina, United States",Realvolve's all-in-one CRM platform for Real Estate blends elegant design and emerging technologies that will evolve as you do.,"8,320"
"HealthExpense, Inc.",https://www.crunchbase.com/organization/healthexpense-inc-,"Information Technology, Software, Health Care, Payments, Financial Services, Mobile","Sunnyvale, California, United States",HealthExpense.com simplifies consumer driven health plan reimbursements and payments.,"8,308"
The Better Software Company,https://www.crunchbase.com/organization/the-better-software-company,"Commerce and Shopping, Information Technology, Software, Sales and Marketing","New York, New York, United States",The Better Software Company is a Small Business Management Solution (SBMS) provider.,"8,305"
LastPass,https://www.crunchbase.com/organization/lastpass,"Apps, Software, Internet Services, Mobile","Fairfax, Virginia, United States","LastPass is a free password manager and form filler optimized for Firefox, Internet Explorer, Opera and Safari.","8,296"
Allbound,https://www.crunchbase.com/organization/allbound,"Information Technology, Software, Sales and Marketing, Content and Publishing, Mobile","Phoenix, Arizona, United States","Mobile-friendly SaaS toolset for channel partner training, content marketing, collaboration and customer success.","8,263"
OwnLocal,https://www.crunchbase.com/organization/ownlocal,"Media and Entertainment, Software, Sales and Marketing, Content and Publishing, Advertising","Austin, Texas, United States","OwnLocal offers a platform to convert print, radio, and television advertisements into online marketing campaigns.","8,189"
Modelo,https://www.crunchbase.com/organization/modelo,"Hardware, Real Estate, Software","Cambridge, Massachusetts, United States",Modelo is a web-based building design communication platform for AEC industry.,"8,181"
BOND,https://www.crunchbase.com/organization/bond,"Commerce and Shopping, Software, Sales and Marketing, Mobile","New York, New York, United States",BOND is a mobile-first startup that brings back the powerful personal touch of handwritten communication and the art of the cool.,"8,172"
Introhive,https://www.crunchbase.com/organization/introhive,"Information Technology, Data and Analytics, Software, Sales and Marketing","Fredericton, New Brunswick, Canada",Introhive is a SaaS-based platform which brings relationship intelligence into your CRM with data automation and sales acceleration,"8,151"
ParkMyCloud,https://www.crunchbase.com/organization/parkmycloud,"Information Technology, Software, Internet Services","Dulles, Virginia, United States",A self-service web app to quickly schedule on/off times for your idle AWS instances.,"8,123"
Gemio,https://www.crunchbase.com/organization/gemio,"Hardware, Consumer Electronics, Software, Internet Services","Seattle, Washington, United States","Gemio is an IoT bracelet, app, and SaaS that gives people the ability to communicate and express themselves in a powerful new medium.","8,116"
Driversiti,https://www.crunchbase.com/organization/apio-systems,"Software, Internet Services, Mobile","Warwick, New York, United States","By combining our expertise in machine learning with built-in smartphone sensors, we drive transportation safety for the mobile generation.","8,094"
EasyVista,https://www.crunchbase.com/organization/easyvista,"Apps, Information Technology, Software, Mobile","New York, New York, United States",EasyVista is reinventing service management for the mobile user — making it easy to deliver and easy to use.,"8,080"
Movvo,https://www.crunchbase.com/organization/around-knowledge,"Hardware, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","Porto, Lisboa, Portugal","Movvo is a Behavioural Analytics and Location Based Marketing Company, with a focus on retail and Retail Real Estates","8,068"
Rockbot,https://www.crunchbase.com/organization/roqbot,"Media and Entertainment, Music and Audio, Software, Mobile","Oakland, California, United States","Rockbot is a streaming media platform for businesses that includes background music, mobile jukebox, and digital signage applications.","8,046"
QingCloud,https://www.crunchbase.com/organization/qingcloud,"Software, Internet Services","Beijing, Beijing, China",QingCloud is a cloud computing platform that provides IaaS-based flexible cloud services.,"8,034"
Unicommerce eSolutions Pvt. Ltd.,https://www.crunchbase.com/organization/unicommerce,"Hardware, Commerce and Shopping, Software, Internet Services","New Delhi, Delhi, India",Online Multi Channel Order Fulfillment Platform which enables E-commerce merchants of all sizes to sell more.,"8,001"
Real Savvy,https://www.crunchbase.com/organization/real-savvy-inc,"Apps, Information Technology, Real Estate, Software, Sales and Marketing, Mobile","Austin, Texas, United States","RealSavvy is a RE tech platform offering real estate professionals an all-in-one consumer site, CRM, collaborative IDX, and a branded app.","7,989"
"Joomag, Inc.",https://www.crunchbase.com/organization/joomag,"Media and Entertainment, Information Technology, Software, Sales and Marketing, Content and Publishing","San Jose, California, United States","Joomag provides integrated solution for publishing, distributing, tracking and monetizing publications online.","7,981"
Coralogix,https://www.crunchbase.com/organization/coralogix,"Information Technology, Data and Analytics, Software","San Francisco, California, United States",Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"7,976"
Blueliv,https://www.crunchbase.com/organization/blueliv,"Information Technology, Software, Privacy and Security, Financial Services","Barcelona, Catalonia, Spain","Blueliv provides cyber threat information and analysis intelligence for enterprises, service providers, and security vendors.","7,962"
RIVS,https://www.crunchbase.com/organization/rivs,"Apps, Software, Professional Services, Internet Services","Chicago, Illinois, United States","RIVS is web software facilitating voice and video interviews, job application management, and efficient hiring.","7,930"
BuyerQuest,https://www.crunchbase.com/organization/buyerquest,"Hardware, Software, Transportation, Internet Services","Cleveland, Ohio, United States",BuyerQuest is the first and only cloud-based software company to combine the best of eCommerce with enterprise Procure-to-Pay,"7,920"
Adestra,https://www.crunchbase.com/organization/adestra,"Information Technology, Data and Analytics, Software, Sales and Marketing, Internet Services, Messaging and Telecommunications, Advertising","Oxford, Oxfordshire, United Kingdom",Adestra has been empowering their enterprise clients to maximize marketing ROI through Software AND a Service email-driven technology.,"7,918"
ArborMetrix,https://www.crunchbase.com/organization/arbormetrix,"Data and Analytics, Software, Health Care, Internet Services","Ann Arbor, Michigan, United States",ArborMetrix is the trusted leader in performance measurement for Acute & Specialty Care.,"7,908"
ClientSuccess,https://www.crunchbase.com/organization/clientsuccess,Software,"American Fork, Utah, United States",ClientSuccess develops a customer success management platform.,"7,775"
Hoopla Software,https://www.crunchbase.com/organization/hoopla-software,"Software, Health Care","San Jose, California, United States",Hoopla Software is the leading performance and motivation management platform for driving performance and productivity.,"7,743"
Membersuite,https://www.crunchbase.com/organization/membersuite,"Information Technology, Software","Atlanta, Georgia, United States",MemberSuite provides customizable association management software to track and manage information flow.,"7,703"
Paracosm,https://www.crunchbase.com/organization/paracosm,"Science and Engineering, Hardware, Real Estate, Software","Gainesville, Florida, United States",Paracosm operates a cloud-based application for converting scanned places into three-dimensional models.,"7,668"
BridgeU,https://www.crunchbase.com/organization/bridgeu,"Data and Analytics, Software, Education","London, England, United Kingdom",Making educational decision-making intelligent,"7,661"
Mobingi. Inc.,https://www.crunchbase.com/organization/mobingi,"Apps, Software, Internet Services","Tokyo, Tokyo, Japan",Cloud Application Lifecycle Management Software,"7,620"
Anatwine,https://www.crunchbase.com/organization/anatwine,"Commerce and Shopping, Software, Internet Services","Cheltenham, Gloucestershire, United Kingdom",Connecting brands and retailers systems to create an efficient and profitable revenue share model,"7,596"
Capshare,https://www.crunchbase.com/organization/capshare,Software,"Sandy, Utah, United States",Capshare is a web application that helps businesses manage their stock and assets on one organized platform.,"7,585"
StreamLink Software,https://www.crunchbase.com/organization/streamlink-software,"Information Technology, Software","Cleveland, Ohio, United States","StreamLink Software offers board management platforms that bridge disparate systems and processes, creating dynamic ecosystems.","7,579"
Fonteva,https://www.crunchbase.com/organization/fonteva,"Apps, Commerce and Shopping, Media and Entertainment, Events, Community and Lifestyle, Software, Payments, Internet Services, Financial Services, Mobile","Arlington, Virginia, United States","SAAS software company (Salesforce ISV) providing membership, events and eComm for nonprofits, commercial and public sector customers","7,557"
Mast Mobile,https://www.crunchbase.com/organization/grid-mobile,"Hardware, Software, Mobile","New York, New York, United States","Mast provides a mobile-first, integrated communications platform for enterprises and individuals. Mast is the first software MVNO (S-MVNO).","7,553"
TimeTrade,https://www.crunchbase.com/organization/timetrade-systems,"Commerce and Shopping, Software, Internet Services","Tewksbury, Massachusetts, United States",TimeTrade offers SaaS-based Appointment Driven Customer engagement,"7,541"
MobileSpaces,https://www.crunchbase.com/organization/mobilespaces,"Apps, Software, Privacy and Security, Mobile","Silver Spring, Maryland, United States",MobileSpaces provides security for mobile applications and supports businesses in protecting enterprise data.,"7,489"
Qordoba,https://www.crunchbase.com/organization/qordoba,"Data and Analytics, Software, Mobile","San Francisco, California, United States",SaaS for globalizing digital content,"7,473"
Docurated,https://www.crunchbase.com/organization/docurated,Software,"New York, New York, United States",Docurated offers the fastest and simplest way for sales and marketing teams to find and use content.,"7,442"
Ometria,https://www.crunchbase.com/organization/ometria,"Commerce and Shopping, Data and Analytics, Software, Sales and Marketing","London, England, United Kingdom",Ometria is a customer insight and marketing automation platform which lets retailers communicate with their customers in a personalised way.,"7,392"
Catchoom,https://www.crunchbase.com/organization/catchoom,"Apps, Hardware, Commerce and Shopping, Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Content and Publishing, Advertising","Barcelona, Catalonia, Spain","Catchoom is an award-winning image and object recognition provider, powering CraftAR, the ultimate Augmented Reality (AR) toolbox.","7,391"
OwnBackup,https://www.crunchbase.com/organization/ownbackup,"Software, Internet Services","Fort Lee, New Jersey, United States",OwnBackup is a leading cloud-to-cloud backup and restore vendor.,"7,386"
Salsa Labs,https://www.crunchbase.com/organization/salsa-labs,"Information Technology, Software, Government and Military, Sales and Marketing","Washington, District of Columbia, United States","Salsa Labs provides management software that helps nonprofits succeed with tools like online fundraising, communications and social media.","7,385"
Fieldbook,https://www.crunchbase.com/organization/fieldbook,"Data and Analytics, Software",,"Create a database, as easily as a spreadsheet","7,375"
Dexter,https://www.crunchbase.com/organization/run-dexter,Software,"New York, New York, United States","Dexter is a platform for brands and businesses to easily create and manage chatbots. If you can write, you can make a bot.","7,350"
Nexd,https://www.crunchbase.com/organization/nexd-io,"Science and Engineering, Media and Entertainment, Information Technology, Data and Analytics, Software, Sales and Marketing, Content and Publishing","Austin, Texas, United States",Nexd brings AI (artificial intelligence) to sales professionals.,"7,348"
"Anchore, Inc.",https://www.crunchbase.com/organization/anchore-inc,"Hardware, Information Technology, Consumer Electronics, Software","Santa Barbara, California, United States",Anchore lets you create a trusted standard for your containers. Predictable. Protectable.,"7,345"
CallidusCloud / Callidus Software,https://www.crunchbase.com/organization/callidus-software,"Software, Sales and Marketing, Internet Services","Pleasanton, California, United States",Callidus Software Inc. (doing business as CallidusCloud) provides sales effectiveness software and services.,"7,332"
"Stratifyd, Inc.",https://www.crunchbase.com/organization/taste-analytics,"Information Technology, Data and Analytics, Software, Design","Charlotte, North Carolina, United States",Stratifyd is designed to equip business leaders worldwide with deep intellectual business insights in minutes instead of months.,"7,301"
